Timestamp,What fruit or vegetable?,Weight in grams
4/15/2020 11:47:41,Halo Mandarin,104
4/15/2020 11:47:48,Halo Mandarin,105
4/15/2020 11:47:58,Halo Mandarin,92
4/15/2020 11:48:04,Halo Mandarin,95
4/15/2020 11:48:44,Halo Mandarin,89
4/15/2020 11:48:51,Halo Mandarin,93
4/15/2020 11:48:58,Halo Mandarin,93
4/15/2020 11:49:04,Halo Mandarin,97
4/15/2020 11:49:11,Halo Mandarin,100
4/15/2020 11:49:17,Halo Mandarin,98
4/15/2020 11:49:22,Halo Mandarin,100
4/17/2020 19:10:12,Halo Mandarin,76
4/17/2020 19:10:23,Halo Mandarin,75
4/17/2020 19:10:34,Halo Mandarin,82
4/17/2020 19:10:44,Halo Mandarin,80
4/17/2020 19:10:53,Halo Mandarin,87
4/17/2020 19:11:03,Halo Mandarin,86
4/17/2020 19:11:14,Halo Mandarin,81
4/17/2020 19:11:24,Halo Mandarin,89
4/17/2020 19:11:35,Halo Mandarin,84
4/17/2020 19:11:44,Halo Mandarin,88
4/17/2020 19:11:53,Halo Mandarin,87
4/17/2020 19:12:06,Halo Mandarin,86
4/17/2020 19:12:22,Halo Mandarin,69
4/17/2020 19:12:33,Halo Mandarin,78
4/17/2020 19:12:45,Halo Mandarin,91
4/17/2020 19:12:57,Halo Mandarin,88
4/17/2020 19:13:08,Halo Mandarin,92
4/18/2020 12:03:31,Banana,170
4/18/2020 12:03:36,Banana,149
4/20/2020 10:21:16,Banana,154
4/21/2020 19:50:03,Halo Mandarin,99
4/21/2020 19:50:14,Halo Mandarin,79
4/21/2020 19:50:26,Halo Mandarin,80
4/21/2020 19:50:36,Halo Mandarin,81
4/21/2020 19:50:45,Halo Mandarin,81
4/21/2020 19:50:54,Halo Mandarin,77
4/21/2020 19:51:05,Halo Mandarin,80
4/21/2020 19:51:15,Halo Mandarin,75
4/21/2020 19:51:24,Halo Mandarin,85
4/21/2020 19:51:37,Halo Mandarin,86
4/21/2020 19:51:48,Halo Mandarin,83
4/21/2020 19:51:58,Halo Mandarin,82
4/21/2020 19:52:11,Halo Mandarin,79
4/21/2020 19:52:23,Halo Mandarin,76
4/21/2020 19:52:34,Halo Mandarin,91
4/21/2020 19:52:45,Halo Mandarin,88
4/21/2020 19:52:56,Halo Mandarin,77
4/21/2020 19:54:30,Yellow Onion,286
4/21/2020 19:54:44,Yellow Onion,188
4/21/2020 19:54:59,Yellow Onion,178
4/21/2020 19:56:05,Gold Potato,152
4/21/2020 19:56:16,Gold Potato,342
4/21/2020 19:56:30,Gold Potato,192
4/21/2020 19:56:44,Gold Potato,136
4/21/2020 19:56:59,Gold Potato,115
4/21/2020 19:57:13,Gold Potato,127
4/21/2020 19:57:26,Gold Potato,145
4/21/2020 19:57:41,Gold Potato,240
4/27/2020 13:56:19,Halo Mandarin,97
4/27/2020 13:56:28,Halo Mandarin,97
4/27/2020 13:56:39,Halo Mandarin,93
4/27/2020 13:56:48,Halo Mandarin,92
4/27/2020 13:57:00,Halo Mandarin,93
4/27/2020 13:57:12,Halo Mandarin,89
4/27/2020 13:57:22,Halo Mandarin,105
4/27/2020 13:57:32,Halo Mandarin,103
4/27/2020 13:57:43,Halo Mandarin,104
4/27/2020 13:57:56,Halo Mandarin,102
4/27/2020 13:58:11,Halo Mandarin,96
4/27/2020 13:58:20,Halo Mandarin,101
4/27/2020 13:58:29,Halo Mandarin,106
4/27/2020 13:58:39,Halo Mandarin,99
4/27/2020 13:58:50,Halo Mandarin,97
4/27/2020 23:20:38,Yellow Onion,222
4/27/2020 23:20:51,Yellow Onion,172
4/27/2020 23:21:07,Yellow Onion,315
4/27/2020 23:21:29,Yellow Onion,155
4/27/2020 23:21:41,Yellow Onion,157
4/27/2020 23:21:58,Yellow Onion,258
4/27/2020 23:22:14,Yellow Onion,159
5/4/2020 10:40:39,Halo Mandarin,90
5/4/2020 10:41:34,Halo Mandarin,99
5/4/2020 10:41:58,Halo Mandarin,89
5/4/2020 10:44:27,Halo Mandarin,96
5/4/2020 10:44:33,Halo Mandarin,85
5/4/2020 10:44:39,Halo Mandarin,96
5/4/2020 10:44:48,Halo Mandarin,116
5/4/2020 10:44:55,Halo Mandarin,89
5/4/2020 10:45:02,Halo Mandarin,96
5/4/2020 10:45:09,Halo Mandarin,104
5/4/2020 10:45:16,Halo Mandarin,91
5/4/2020 10:45:23,Halo Mandarin,85
5/4/2020 10:45:29,Halo Mandarin,100
5/4/2020 10:45:36,Halo Mandarin,95
5/4/2020 10:45:43,Halo Mandarin,106
5/4/2020 18:57:47,Yellow Onion,292
5/4/2020 19:01:16,Gold Potato,218
5/4/2020 19:01:27,Gold Potato,167
5/4/2020 19:17:31,Yellow Onion,180
5/4/2020 19:17:48,Yellow Onion,248
5/4/2020 19:18:01,Yellow Onion,295
5/4/2020 19:18:27,Yellow Onion,185
5/4/2020 19:18:34,Yellow Onion,237
5/8/2020 11:09:52,Halo Mandarin,88
5/8/2020 11:09:57,Halo Mandarin,84
5/8/2020 11:10:05,Halo Mandarin,83
5/8/2020 11:10:13,Halo Mandarin,87
5/8/2020 11:10:18,Halo Mandarin,90
5/8/2020 11:10:28,Halo Mandarin,88
5/8/2020 11:10:36,Halo Mandarin,89
5/8/2020 11:10:44,Halo Mandarin,82
5/8/2020 11:11:15,Halo Mandarin,83
5/8/2020 11:11:22,Halo Mandarin,103
5/8/2020 11:11:29,Halo Mandarin,92
5/8/2020 11:11:37,Halo Mandarin,79
5/8/2020 11:11:44,Halo Mandarin,78
5/8/2020 11:11:50,Halo Mandarin,75
5/8/2020 11:11:57,Halo Mandarin,98
5/8/2020 11:12:06,Halo Mandarin,80
5/8/2020 11:12:12,Halo Mandarin,76
5/8/2020 17:58:09,Yellow Onion,233
5/8/2020 18:25:37,Yellow Onion,223
5/8/2020 18:25:49,Yellow Onion,191
5/8/2020 18:26:04,Yellow Onion,184
5/8/2020 18:26:17,Yellow Onion,193
5/8/2020 18:26:28,Yellow Onion,169
5/11/2020 19:13:15,Gold Potato,90
5/11/2020 19:13:27,Gold Potato,111
5/11/2020 19:13:39,Gold Potato,175
5/11/2020 19:13:49,Gold Potato,92
5/11/2020 19:14:00,Gold Potato,89
5/11/2020 19:14:11,Gold Potato,220
5/20/2020 15:30:53,Cuties Mandarin,84
5/20/2020 15:30:59,Cuties Mandarin,82
5/20/2020 15:31:05,Cuties Mandarin,82
5/20/2020 15:31:13,Cuties Mandarin,79
5/20/2020 15:31:20,Cuties Mandarin,85
5/20/2020 15:31:28,Cuties Mandarin,88
5/20/2020 15:31:34,Cuties Mandarin,78
5/20/2020 15:31:40,Cuties Mandarin,78
5/20/2020 15:31:47,Cuties Mandarin,88
5/20/2020 15:31:54,Cuties Mandarin,82
5/20/2020 15:32:18,Cuties Mandarin,79
5/20/2020 15:32:27,Cuties Mandarin,80
5/20/2020 15:32:41,Cuties Mandarin,78
5/20/2020 15:32:49,Cuties Mandarin,81
5/20/2020 15:32:56,Cuties Mandarin,79
5/20/2020 15:33:04,Cuties Mandarin,77
5/20/2020 15:33:09,Cuties Mandarin,84
5/20/2020 15:33:15,Cuties Mandarin,78
5/20/2020 15:36:32,Yellow Onion,199
5/20/2020 15:36:39,Yellow Onion,246
5/20/2020 15:36:49,Yellow Onion,192
5/20/2020 15:36:56,Yellow Onion,288
5/20/2020 15:37:03,Yellow Onion,225
5/20/2020 15:37:10,Yellow Onion,241
5/20/2020 15:37:17,Yellow Onion,251
5/20/2020 15:37:28,Yellow Onion,176
5/20/2020 15:37:34,Yellow Onion,254
5/29/2020 10:50:06,Cuties Mandarin,108
5/29/2020 10:50:14,Cuties Mandarin,120
5/29/2020 10:50:24,Cuties Mandarin,94
5/29/2020 10:50:33,Cuties Mandarin,111
5/29/2020 10:50:42,Cuties Mandarin,119
5/29/2020 10:50:52,Cuties Mandarin,120
5/29/2020 10:51:00,Cuties Mandarin,110
5/29/2020 10:51:12,Cuties Mandarin,105
5/29/2020 10:51:18,Cuties Mandarin,106
5/29/2020 10:51:25,Cuties Mandarin,122
5/29/2020 10:51:33,Cuties Mandarin,126
5/29/2020 10:51:39,Cuties Mandarin,122
6/5/2020 13:31:26,Cuties Mandarin,133
6/5/2020 13:31:35,Cuties Mandarin,160
6/5/2020 13:31:48,Cuties Mandarin,166
6/5/2020 13:31:56,Cuties Mandarin,143
6/5/2020 13:32:10,Cuties Mandarin,157
6/5/2020 13:32:25,Cuties Mandarin,163
6/5/2020 13:32:37,Cuties Mandarin,145
6/5/2020 13:32:51,Cuties Mandarin,143
6/18/2020 15:59:46,Cuties Mandarin,149
6/18/2020 15:59:56,Cuties Mandarin,135
6/18/2020 16:00:03,Cuties Mandarin,128
6/18/2020 16:00:10,Cuties Mandarin,131
6/18/2020 16:00:21,Cuties Mandarin,144
6/18/2020 16:00:28,Cuties Mandarin,143
6/18/2020 16:00:34,Cuties Mandarin,188
6/18/2020 16:00:43,Cuties Mandarin,147
6/18/2020 16:00:49,Cuties Mandarin,199