name,lon,lat
Amsterdam Centraal,4.900658992116831,52.37898986751628
Haarlem,4.6385188358551375,52.38809336287105
Heemstede-Aardenhout,4.606818403030189,52.35945550055817
Leiden Centraal,4.48224976958511,52.166320604956184
Schiphol Airport,4.762219536902762,52.30950232206666
Amsterdam Zuid,4.87344243849256,52.33900547836754
Amsterdam Bijlmer ArenA,4.947152455897594,52.31235272206587
Amsterdam Amstel,4.917534330042457,52.3465873923447
Den Haag Laan van NOI,4.343293137694303,52.078998804601355
Den Haag HS,4.322065790538801,52.06964709414737
Delft,4.356735829800101,52.00762163190879
Schiedam Centrum,4.408633770707468,51.922053409902446
Rotterdam Centraal,4.46903282574911,51.92497414150782
Dordrecht,4.668204791563284,51.80736361894887
Breda,4.780058621395597,51.595382995793614
Tilburg,5.083817603085635,51.560647396643304
's-Hertogenbosch,5.2936051831020166,51.69057013663817
Utrecht Centraal,5.109756798879147,52.089421112710795
Oss,5.53144425706023,51.765306938168465
Nijmegen,5.852832305933674,51.843236205099515
Arnhem Centraal,5.9002620728138595,51.98500036156619
Dieren,6.103403745998207,52.04531811181795
Zutphen,6.194160105405189,52.14485524061948
Deventer,6.161121623618385,52.25732842814867
Apeldoom,5.969096902659999,52.20931595101726
Amersfoort Centraal,5.374212803924678,52.153862690847546
Hilversum,5.181737706386059,52.22659802093611
Rotterdam Blaak,4.489180281176658,51.92000508271482